,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
118,1.0,0.2,18,1,1,1.0
119,1.0,0.2,19,0,1,0.0
120,1.0,0.2,20,0,0,0.0
121,1.0,0.2,21,0,1,0.9999999999999998
122,1.0,0.2,22,1,1,0.0
123,1.0,0.2,23,0,0,0.0
124,1.0,0.2,24,0,0,0.0
125,1.0,0.2,25,0,0,0.0
126,1.0,0.2,26,0,1,0.0
127,1.0,0.2,27,0,1,0.0
128,1.0,0.2,28,1,0,0.0
129,1.0,0.2,29,1,0,0.0
130,1.0,0.2,30,0,1,6.077163357286273e-64
131,1.0,0.2,31,0,1,1.0
132,1.0,0.2,32,1,1,1.0
133,1.0,0.2,33,0,1,0.0
134,1.0,0.2,34,1,1,1.5407439555097883e-33
135,1.0,0.2,35,1,0,0.0
136,1.0,0.2,36,1,1,1.0
137,1.0,0.2,37,1,1,1.0
138,1.0,0.2,38,0,1,6.077163357286273e-64
139,1.0,0.2,39,0,0,0.0
140,1.0,0.2,40,1,0,0.9999999999999997
141,1.0,0.2,41,0,0,0.0
142,1.0,0.2,42,0,1,1.0
143,1.0,0.2,43,0,1,0.0
144,1.0,0.2,44,0,1,0.0
145,1.0,0.2,45,0,0,0.9999999999999997
146,1.0,0.2,46,1,0,0.49999999999999994
147,1.0,0.2,47,0,1,1.0
148,1.0,0.2,48,1,1,1.0
149,1.0,0.2,49,1,1,0.0
150,1.0,0.2,50,0,0,0.9999999999999997
151,1.0,0.2,51,1,1,0.0
152,1.0,0.2,52,0,1,0.0
153,1.0,0.2,53,1,1,0.9999999999999997
154,1.0,0.2,54,0,0,0.0
155,1.0,0.2,55,1,1,0.0
156,1.0,0.2,56,1,0,2.4651903288156616e-32
157,1.0,0.2,57,1,0,0.0
158,1.0,0.2,58,1,0,0.0
159,1.0,0.2,59,0,0,0.0
160,1.0,0.2,60,1,0,0.0
161,1.0,0.2,61,1,1,0.0
162,1.0,0.2,62,0,1,0.0
163,1.0,0.2,63,1,1,0.9999999999999997
164,1.0,0.2,64,1,1,0.0
165,1.0,0.2,65,1,1,0.0
166,1.0,0.2,66,1,1,0.0
167,1.0,0.2,67,0,1,0.0
168,1.0,0.2,68,0,1,1.0
169,1.0,0.2,69,0,1,2.4651903288156613e-32
170,1.0,0.2,70,1,0,2.4651903288156624e-32
171,1.0,0.2,71,0,1,0.0
172,1.0,0.2,72,1,0,0.0
173,1.0,0.2,73,1,1,1.0
174,1.0,0.2,74,1,1,0.0
175,1.0,0.2,75,1,1,0.0
176,1.0,0.2,76,1,0,1.0
177,1.0,0.2,77,1,0,1.0
178,1.0,0.2,78,1,1,0.0
179,1.0,0.2,79,1,1,0.0
180,1.0,0.2,80,1,0,0.0
181,1.0,0.2,81,1,1,0.9999999999999997
182,1.0,0.2,82,0,1,2.4651903288156613e-32
183,1.0,0.2,83,0,0,0.0
184,1.0,0.2,84,0,0,0.9999999999999997
185,1.0,0.2,85,0,0,0.9999999999999997
186,1.0,0.2,86,1,1,0.0
187,1.0,0.2,87,1,1,0.0
188,1.0,0.2,88,1,0,0.0
189,1.0,0.2,89,0,0,0.0
190,1.0,0.2,90,1,1,1.0
191,1.0,0.2,91,1,0,0.0
192,1.0,0.2,92,1,1,0.0
193,1.0,0.2,93,1,0,6.077163357286273e-64
194,1.0,0.2,94,0,0,0.9999999999999997
195,1.0,0.2,95,0,1,6.077163357286273e-64
196,1.0,0.2,96,1,1,0.0
197,1.0,0.2,97,0,1,0.0
198,1.0,0.2,98,0,0,0.9999999999999997
199,1.0,0.2,99,0,0,0.0
200,1.0,0.4,0,0,1,0.012806687215359679
201,1.0,0.4,1,0,1,0.0912994655339043
202,1.0,0.4,2,1,0,1.5672611182998203e-34
203,1.0,0.4,3,0,1,0.0
204,1.0,0.4,4,0,1,0.9855671675716418
