,Gate fidelity,EPR channel fidelity,Sample index,M_Alice_1,M_Alice_2,M_Bob_1,M_Bob_2,Fidelity
118,1.0,0.2,18,0,1,1,1,0.0
119,1.0,0.2,19,1,1,1,1,0.9999999999999997
120,1.0,0.2,20,0,1,0,1,0.9999999999999997
121,1.0,0.2,21,0,1,1,0,0.9999999999999997
122,1.0,0.2,22,0,1,1,0,0.9999999999999997
123,1.0,0.2,23,1,0,1,1,6.077163357286273e-64
124,1.0,0.2,24,1,1,1,0,0.9999999999999997
125,1.0,0.2,25,0,1,1,1,1.0
126,1.0,0.2,26,1,0,0,0,0.0
127,1.0,0.2,27,1,1,0,0,0.0
128,1.0,0.2,28,1,0,0,1,0.0
129,1.0,0.2,29,0,0,0,0,0.0
130,1.0,0.2,30,1,1,1,0,0.0
131,1.0,0.2,31,1,1,1,0,2.4651903288156613e-32
132,1.0,0.2,32,1,1,1,0,6.077163357286273e-64
133,1.0,0.2,33,0,1,0,0,1.0
134,1.0,0.2,34,1,1,0,1,0.0
135,1.0,0.2,35,1,1,0,1,0.0
136,1.0,0.2,36,0,0,1,1,0.0
137,1.0,0.2,37,1,1,1,1,0.0
138,1.0,0.2,38,0,0,1,1,0.0
139,1.0,0.2,39,0,0,1,0,0.0
140,1.0,0.2,40,1,1,1,0,0.0
141,1.0,0.2,41,1,0,1,1,2.4651903288156613e-32
142,1.0,0.2,42,1,0,1,1,0.4999999999999999
143,1.0,0.2,43,0,1,1,1,0.0
144,1.0,0.2,44,1,1,1,1,1.0
145,1.0,0.2,45,0,1,1,0,0.0
146,1.0,0.2,46,1,1,0,0,0.0
147,1.0,0.2,47,1,0,1,1,0.0
148,1.0,0.2,48,0,1,1,1,0.0
149,1.0,0.2,49,0,1,1,1,0.49999999999999994
150,1.0,0.2,50,0,0,1,0,0.0
151,1.0,0.2,51,0,0,1,0,1.0
152,1.0,0.2,52,0,0,0,0,1.0
153,1.0,0.2,53,1,0,1,1,1.5192908393215678e-64
154,1.0,0.2,54,1,1,0,1,0.9999999999999997
155,1.0,0.2,55,1,1,0,1,0.49999999999999994
156,1.0,0.2,56,0,0,1,1,0.0
157,1.0,0.2,57,0,1,0,0,2.4651903288156624e-32
158,1.0,0.2,58,1,1,0,1,0.9999999999999997
159,1.0,0.2,59,0,0,1,0,1.0
160,1.0,0.2,60,1,1,0,0,0.0
161,1.0,0.2,61,0,0,0,1,1.5192908393215678e-64
162,1.0,0.2,62,1,1,1,1,0.0
163,1.0,0.2,63,0,0,1,0,0.9999999999999997
164,1.0,0.2,64,0,1,1,0,1.0
165,1.0,0.2,65,0,0,0,0,0.0
166,1.0,0.2,66,0,1,1,1,0.0
167,1.0,0.2,67,0,1,0,0,0.0
168,1.0,0.2,68,1,0,0,0,7.703719777548941e-34
169,1.0,0.2,69,0,0,0,1,0.4999999999999999
170,1.0,0.2,70,0,1,0,0,0.0
171,1.0,0.2,71,1,0,1,0,0.0
172,1.0,0.2,72,1,0,1,0,0.0
173,1.0,0.2,73,0,1,0,1,0.0
174,1.0,0.2,74,0,1,0,1,0.0
175,1.0,0.2,75,0,0,1,0,1.0
176,1.0,0.2,76,0,0,0,1,1.0
177,1.0,0.2,77,1,0,0,0,0.0
178,1.0,0.2,78,0,0,1,0,0.0
179,1.0,0.2,79,0,1,0,0,0.0
180,1.0,0.2,80,0,1,1,0,0.9999999999999997
181,1.0,0.2,81,0,1,0,0,0.0
182,1.0,0.2,82,1,0,1,0,0.0
183,1.0,0.2,83,0,1,0,0,1.0
184,1.0,0.2,84,1,1,0,0,1.0
185,1.0,0.2,85,0,1,0,1,0.0
